Table 6: Current Financial Situation Compared with a Year Ago
Quarter,Year,Better,Same,Worse,DK; NA,Relative,
4,2002,38,24,38,0,100,
1,2003,38,26,36,0,102,
2,2003,38,27,35,0,103,
3,2003,40,28,32,0,108,
4,2003,41,26,33,0,108,
1,2004,45,25,30,0,115,
2,2004,44,25,31,0,113,
3,2004,46,25,29,0,117,
4,2004,42,28,30,0,112,
1,2005,47,26,27,0,120,
2,2005,44,27,29,0,115,
3,2005,44,26,30,0,114,
4,2005,41,24,35,0,106,
1,2006,44,28,28,0,116,
2,2006,43,25,32,0,111,
3,2006,39,28,33,0,106,
4,2006,45,28,26,1,119,
1,2007,45,27,28,0,117,
2,2007,45,24,31,0,114,
3,2007,41,27,32,0,109,
4,2007,39,25,36,0,103,
1,2008,35,25,40,0,95,
2,2008,29,20,51,0,78,
3,2008,28,21,51,0,77,
4,2008,19,22,59,0,60,
1,2009,21,24,55,0,66,
2,2009,20,26,54,0,66,
3,2009,20,26,54,0,66,
4,2009,19,29,51,1,68,
1,2010,21,34,45,0,76,
2,2010,24,30,46,0,78,
3,2010,24,31,45,0,79,
4,2010,24,32,44,0,80,
1,2011,27,31,42,0,85,
2,2011,28,26,46,0,82,
3,2011,23,27,49,1,74,
4,2011,24,30,46,0,78,
1,2012,30,30,40,0,90,
2,2012,29,31,40,0,89,
3,2012,29,30,41,0,88,
4,2012,33,30,37,0,96,
1,2013,29,32,39,0,90,
2,2013,36,29,35,0,101,
3,2013,36,29,35,0,101,
4,2013,31,34,35,0,96,
1,2014,37,27,36,0,101,
2,2014,38,32,30,0,108,
3,2014,41,27,32,0,109,
4,2014,39,32,29,0,110,
1,2015,46,28,26,0,120,
2,2015,44,29,27,0,117,
3,2015,44,28,28,0,116,
4,2015,42,26,31,1,111,
1,2016,43,28,28,1,115,
2,2016,48,26,26,0,122,
3,2016,44,29,27,0,117,
4,2016,45,28,27,0,118,
1,2017,48,32,20,0,128,
2,2017,50,28,22,0,128,
3,2017,50,30,20,0,130,
