Table 8: Expected Change in Financial Situation in a Year
Quarter,Year,Better Off,Same,Worse,DK; NA,Relative,
4,2002,41,47,9,3,132,
1,2003,40,45,13,2,127,
2,2003,44,45,9,2,135,
3,2003,40,48,9,3,131,
4,2003,37,50,11,2,126,
1,2004,42,47,9,2,133,
2,2004,39,49,10,2,129,
3,2004,41,48,9,2,132,
4,2004,37,52,10,1,127,
1,2005,39,50,9,2,130,
2,2005,35,54,11,0,124,
3,2005,36,50,13,1,123,
4,2005,33,51,14,2,119,
1,2006,33,54,11,2,122,
2,2006,33,51,14,2,119,
3,2006,32,54,13,1,119,
4,2006,36,53,9,2,127,
1,2007,35,54,10,1,125,
2,2007,35,52,12,1,123,
3,2007,33,54,12,1,121,
4,2007,31,52,16,1,115,
1,2008,29,54,16,1,113,
2,2008,21,53,23,3,98,
3,2008,27,53,17,3,110,
4,2008,25,53,18,4,107,
1,2009,24,55,17,4,107,
2,2009,32,50,15,3,117,
3,2009,30,50,18,2,112,
4,2009,30,52,15,3,115,
1,2010,26,55,16,3,110,
2,2010,28,52,17,3,111,
3,2010,25,55,17,3,108,
4,2010,26,56,16,2,110,
1,2011,26,54,17,3,109,
2,2011,24,55,18,3,106,
3,2011,21,57,19,3,102,
4,2011,22,59,17,2,105,
1,2012,25,59,14,2,111,
2,2012,26,55,15,4,111,
3,2012,24,57,14,5,110,
4,2012,28,51,16,5,112,
1,2013,27,52,18,3,109,
2,2013,27,55,15,3,112,
3,2013,29,53,15,3,114,
4,2013,25,54,18,3,107,
1,2014,31,51,16,2,115,
2,2014,28,55,15,2,113,
3,2014,30,52,15,3,115,
4,2014,32,54,11,3,121,
1,2015,34,53,11,2,123,
2,2015,36,51,12,1,124,
3,2015,33,52,11,4,122,
4,2015,35,53,10,2,125,
1,2016,37,49,11,3,126,
2,2016,35,53,10,2,125,
3,2016,34,52,10,4,124,
4,2016,38,47,10,5,128,
1,2017,38,47,11,4,127,
2,2017,41,46,11,2,130,
3,2017,39,49,9,3,130,
