7.1113e+05,10.181
7.1122e+05,10.187
7.1131e+05,10.196
7.114e+05,10.204
7.1149e+05,10.209
7.1158e+05,10.218
7.1168e+05,10.224
7.1177e+05,10.226
7.1186e+05,10.218
7.1195e+05,10.218
7.1204e+05,10.218
7.1213e+05,10.215
7.1222e+05,10.221
7.1231e+05,10.233
7.1240e+05,10.254
7.125e+05,10.26
7.1259e+05,10.279
7.1268e+05,10.283
7.1277e+05,10.286
7.1286e+05,10.296
7.1295e+05,10.3
7.1304e+05,10.305
7.1314e+05,10.313
7.1323e+05,10.327
7.1332e+05,10.328
7.1341e+05,10.329
7.135e+05,10.33
7.1359e+05,10.326
7.1368e+05,10.323
7.1378e+05,10.325
7.1387e+05,10.329
7.1396e+05,10.336
7.1405e+05,10.343
7.1414e+05,10.356
7.1423e+05,10.368
7.1432e+05,10.38
7.1442e+05,10.392
7.1451e+05,10.394
7.146e+05,10.396
7.1469e+05,10.404
7.1478e+05,10.411
7.1487e+05,10.413
7.1496e+05,10.416
7.1505e+05,10.413
7.1515e+05,10.403
7.1524e+05,10.402
7.1533e+05,10.41
7.1542e+05,10.419
7.1551e+05,10.433
7.156e+05,10.44
7.1569e+05,10.445
7.1578e+05,10.456
7.1588e+05,10.466
7.1597e+05,10.466
7.1606e+05,10.468
7.1615e+05,10.469
7.1624e+05,10.469
7.1633e+05,10.473
7.1642e+05,10.482
7.1652e+05,10.488
7.1661e+05,10.496
7.167e+05,10.504
7.1679e+05,10.51
7.1688e+05,10.514
7.1697e+05,10.521
7.1706e+05,10.526
7.1715e+05,10.535
7.1724e+05,10.542
7.1734e+05,10.553
7.1743e+05,10.559
7.1752e+05,10.57
7.1761e+05,10.579
7.177e+05,10.589
7.1779e+05,10.601
7.1788e+05,10.614
7.1798e+05,10.625
7.1807e+05,10.638
7.1816e+05,10.652
7.1825e+05,10.662
7.1834e+05,10.673
7.1843e+05,10.683
7.1852e+05,10.692
7.1861e+05,10.701
7.1871e+05,10.711
7.188e+05,10.718
7.1889e+05,10.729
7.1898e+05,10.739
7.1907e+05,10.75
7.1916e+05,10.76
7.1925e+05,10.772
7.1934e+05,10.777
7.1944e+05,10.786
7.1953e+05,10.794
7.1962e+05,10.795
7.1971e+05,10.799
7.198e+05,10.802
7.1989e+05,10.807
7.1998e+05,10.813
7.2008e+05,10.819
7.2017e+05,10.827
7.2026e+05,10.838
7.2035e+05,10.849
7.2044e+05,10.855
7.2053e+05,10.869
7.2062e+05,10.878
7.2072e+05,10.886
7.2081e+05,10.892
7.209e+05,10.901
7.2099e+05,10.908
7.2108e+05,10.915
7.2117e+05,10.921
7.2126e+05,10.921
7.2136e+05,10.922
7.2144e+05,10.924
7.2154e+05,10.932
7.2163e+05,10.941
7.2172e+05,10.952
7.2181e+05,10.958
7.219e+05,10.964
7.2199e+05,10.971
7.2209e+05,10.981
7.2218e+05,10.993
7.2227e+05,11.007
7.2236e+05,11.019
7.2245e+05,11.032
7.2254e+05,11.046
7.2263e+05,11.054
7.2272e+05,11.065
7.2282e+05,11.074
7.2291e+05,11.081
7.23e+05,11.086
7.2309e+05,11.093
7.2318e+05,11.1
7.2327e+05,11.099
7.2336e+05,11.102
7.2346e+05,11.109
7.2355e+05,11.113
7.2364e+05,11.115
7.2373e+05,11.116
7.2382e+05,11.116
7.2391e+05,11.116
7.24e+05,11.116
7.2409e+05,11.113
7.2418e+05,11.114
7.2428e+05,11.119
7.2437e+05,11.128
7.2446e+05,11.14
7.2455e+05,11.148
7.2464e+05,11.159
7.2473e+05,11.17
7.2482e+05,11.181
7.2492e+05,11.19
7.2501e+05,11.201
7.251e+05,11.21
7.2519e+05,11.219
7.2528e+05,11.226
7.2537e+05,11.232
7.2546e+05,11.237
7.2555e+05,11.248
7.2565e+05,11.255
7.2574e+05,11.263
7.2583e+05,11.271
7.2592e+05,11.278
7.2601e+05,11.288
7.261e+05,11.298
7.2619e+05,11.307
7.2628e+05,11.315
7.2638e+05,11.325
7.2647e+05,11.333
7.2656e+05,11.338
7.2665e+05,11.343
7.2674e+05,11.349
7.2683e+05,11.358
7.2692e+05,11.362
7.2702e+05,11.362
7.2711e+05,11.362
7.272e+05,11.36
7.2729e+05,11.359
7.2738e+05,11.361
7.2747e+05,11.363
7.2756e+05,11.365
7.2766e+05,11.369
7.2775e+05,11.373
7.2784e+05,11.378
7.2793e+05,11.383
7.2802e+05,11.392
7.2811e+05,11.399
7.282e+05,11.406
7.283e+05,11.415
7.2838e+05,11.424
7.2848e+05,11.433
7.2857e+05,11.441
7.2866e+05,11.448
7.2875e+05,11.453
7.2884e+05,11.458
7.2893e+05,11.463
7.2902e+05,11.469
7.2912e+05,11.476
7.2921e+05,11.482
7.293e+05,11.488
7.2939e+05,11.495
7.2948e+05,11.503
7.2957e+05,11.509
7.2966e+05,11.517
7.2976e+05,11.522
7.2985e+05,11.53
7.2994e+05,11.536
7.3003e+05,11.544
7.3012e+05,11.551
7.3021e+05,11.558
7.303e+05,11.565
7.3039e+05,11.573
7.3049e+05,11.58
7.3058e+05,11.584
7.3067e+05,11.587
7.3076e+05,11.591
7.3085e+05,11.593
7.3094e+05,11.593
7.3103e+05,11.592
7.3112e+05,11.589
7.3122e+05,11.589
7.3131e+05,11.591
7.314e+05,11.591
7.3149e+05,11.593
7.3158e+05,11.593
7.3167e+05,11.594
7.3176e+05,11.595
7.3186e+05,11.598
7.3195e+05,11.603
7.3204e+05,11.607
7.3213e+05,11.61
7.3222e+05,11.614
7.3231e+05,11.618
7.324e+05,11.624
7.3249e+05,11.63
